theader_id,tdatetime,location_name,theader_type,Checks,item_price,kiosk_name,tdetail_id,item_qty,item_number,item_description,item_cat_name,item_sub_cat_name,item_split,item_split_percent,ttenders_id,ttenders_tid,ttenders_name
15668640,4/13/2026 10:01:35 AM,RTCC Food Court,1,1,15.49,RTCC C and G MO,19227538,1,603676,Dragon Fruit,C&G,C&G Meal Plan,False,0,15269637,15668640,Meal Exchange
15668641,4/13/2026 10:01:36 AM,RTCC Food Court,1,1,13.99,RTCC C and G MO,19227539,1,CG004,Trojan Acai Medium,C&G,C&G Meal Plan,False,0,15269638,15668641,Meal Exchange
15668642,4/13/2026 10:01:37 AM,RTCC Food Court,1,1,13.99,RTCC C and G MO,19227540,1,CG006,PB Chocolate Acai Medium,C&G,C&G Meal Plan,False,0,15269639,15668642,Meal Exchange
15668655,4/13/2026 10:02:07 AM,RTCC Food Court,1,1,13.99,RTCC Food Court ELO Kiosk 6,19227554,1,CG004,Trojan Acai Medium,C&G,C&G Meal Plan,False,0,15269652,15668655,Meal Exchange
15668674,4/13/2026 10:03:11 AM,RTCC Food Court,1,1,13.99,RTCC Food Court ELO Kiosk 5,19227573,1,CG004,Trojan Acai Medium,C&G,C&G Meal Plan,False,0,15269670,15668674,Meal Exchange
15668683,4/13/2026 10:03:30 AM,RTCC Food Court,1,1,11.99,RTCC C and G MO,19227583,1,CG011,Protein Power Medium,C&G,C&G Meal Plan,False,0,15269679,15668683,Meal Exchange
15668684,4/13/2026 10:03:31 AM,RTCC Food Court,1,1,13.99,RTCC C and G MO,19227584,1,CG004,Trojan Acai Medium,C&G,C&G Meal Plan,False,0,15269680,15668684,Meal Exchange
15668688,4/13/2026 10:03:32 AM,RTCC Food Court,1,1,13.99,RTCC C and G MO,19227588,1,CG006,PB Chocolate Acai Medium,C&G,C&G Meal Plan,False,0,15269684,15668688,Meal Exchange
15668690,4/13/2026 10:03:33 AM,RTCC Food Court,1,1,8.99,RTCC C and G MO,19227591,1,603117,Freshly Squeezed Orange Juice Large,C&G,C&G Meal Plan,False,0,15269686,15668690,Meal Exchange
15668724,4/13/2026 10:05:24 AM,RTCC Food Court,1,1,13.99,RTCC C and G MO,19227631,1,CG006,PB Chocolate Acai Medium,C&G,C&G Meal Plan,False,0,15269720,15668724,Meal Exchange
